,adult,budget,genres,id,imdb_id,original_title,overview,poster_path,revenue,title,vote_average,vote_count,imdbURL,tmdbURL,ImageURL
0,FALSE,30000000,"Animation, Comedy, Family",862,tt0114709,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,373554033,Toy Story,7.7,5415,https://www.imdb.com/title/tt0114709/,https://www.themoviedb.org/movie/862,https://image.tmdb.org/t/p/original/rhIRbceoE9lR4veEXuwCC2wARtG.jpg
1,FALSE,65000000,"Adventure, Fantasy, Family",8844,tt0113497,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,262797249,Jumanji,6.9,2413,https://www.imdb.com/title/tt0113497/,https://www.themoviedb.org/movie/8844,https://image.tmdb.org/t/p/original/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg
2,FALSE,0,"Romance, Comedy",15602,tt0113228,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,0,Grumpier Old Men,6.5,92,https://www.imdb.com/title/tt0113228/,https://www.themoviedb.org/movie/15602,https://image.tmdb.org/t/p/original/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg
3,FALSE,16000000,"Comedy, Drama, Romance",31357,tt0114885,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,81452156,Waiting to Exhale,6.1,34,https://www.imdb.com/title/tt0114885/,https://www.themoviedb.org/movie/31357,https://image.tmdb.org/t/p/original/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg
4,FALSE,0,Comedy,11862,tt0113041,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",/e64sOI48hQXyru7naBFyssKFxVd.jpg,76578911,Father of the Bride Part II,5.7,173,https://www.imdb.com/title/tt0113041/,https://www.themoviedb.org/movie/11862,https://image.tmdb.org/t/p/original/e64sOI48hQXyru7naBFyssKFxVd.jpg
5,FALSE,60000000,"Action, Crime, Drama, Thriller",949,tt0113277,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",/zMyfPUelumio3tiDKPffaUpsQTD.jpg,187436818,Heat,7.7,1886,https://www.imdb.com/title/tt0113277/,https://www.themoviedb.org/movie/949,https://image.tmdb.org/t/p/original/zMyfPUelumio3tiDKPffaUpsQTD.jpg
6,FALSE,58000000,"Comedy, Romance",11860,tt0114319,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,0,Sabrina,6.2,141,https://www.imdb.com/title/tt0114319/,https://www.themoviedb.org/movie/11860,https://image.tmdb.org/t/p/original/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg
7,FALSE,0,"Action, Adventure, Drama, Family",45325,tt0112302,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,0,Tom and Huck,5.4,45,https://www.imdb.com/title/tt0112302/,https://www.themoviedb.org/movie/45325,https://image.tmdb.org/t/p/original/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg
8,FALSE,35000000,"Action, Adventure, Thriller",9091,tt0114576,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,64350171,Sudden Death,5.5,174,https://www.imdb.com/title/tt0114576/,https://www.themoviedb.org/movie/9091,https://image.tmdb.org/t/p/original/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg
9,FALSE,58000000,"Adventure, Action, Thriller",710,tt0113189,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,352194034,GoldenEye,6.6,1194,https://www.imdb.com/title/tt0113189/,https://www.themoviedb.org/movie/710,https://image.tmdb.org/t/p/original/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
